Количество комнат;Парковка;Стоимость;Регион;Название дома (ЖК);Лифт грузовой (кол-во);Балкон/лоджия;Тип дома;Кол-во раздельных санузлов;Ремонт;Расстояние до метро
2.0;подземная;7073030;Москва;ЖК «Белая звезда»;1.0;Балкон;Монолитный;1.0;Отсутсвует;3.0
3.0;подземная;7799940;Москва;ЖК «Белая звезда»;1.0;Балкон;Монолитный;1.0;Отсутсвует;3.0
2.0;Неизвестно;11700000;Москва;ЖК «Хорошевский»;2.0;Нет;Монолитный;2.0;Отсутсвует;0.75
2.0;подземная;6055000;Красногорск;ЖК «Рублевское предместье»;1.0;Балкон;Монолитный;0.0;Отсутсвует;100.0
1.0;Неизвестно;2710780;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;8.25
1.0;Неизвестно;1790000;Щелково;ЖК «Восточная Европа»;0.0;Нет;Монолитный;1.0;Отсутсвует;6.25
0.0;Неизвестно;1500000;Богородский;ЖК «Купавино»;1.0;Балкон;Монолитный;0.0;Отсутсвует;100.0
2.0;подземная;19900000;Москва;ЖК «ВТБ Арена парк»;1.0;Нет;Монолитный;0.0;Отсутсвует;0.6664
1.0;Неизвестно;1510000;Раменский;ЖК «Солнечный (Вялковское с/пос)»;0.0;Нет;Кирпичный;1.0;Отсутсвует;100.0
2.0;Неизвестно;3973390;Лыткарино;ЖК «Центральный»;1.0;Балкон;Монолитный;1.0;Отсутсвует;100.0
1.0;подземная;13100000;Москва;ЖК «Утесов»;2.0;Нет;Монолитный;1.0;Отсутсвует;1.7493
2.0;подземная;4250000;Красногорский;ЖК «Красногорск Парк»;0.0;Балкон;Монолитный;0.0;Отсутсвует;100.0
2.0;Неизвестно;3960945;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;100.0
2.0;Неизвестно;4172505;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;5.75
2.0;Неизвестно;4144470;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;100.0
1.0;Неизвестно;2931060;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;5.75
2.0;Неизвестно;4291800;Истра;ЖК «Павловский квартал»;0.0;Нет;Кирпичный;1.0;Отсутсвует;100.0
1.0;Неизвестно;1800000;Солнечногорск;ЖК «Смирновка»;1.0;Нет;Монолитный;0.0;Отсутсвует;100.0
3.0;подземная;12800000;Красногорский;ЖК «Павшино-БЭСТ»;1.0;Балкон;Кирпичный;1.0;Отсутсвует;2.3324
1.0;подземная;2200000;Богородский;ЖК «Высокий берег»;1.0;Нет;Монолитный;0.0;Отсутсвует;100.0
3.0;подземная;6895000;Реутов;ЖК «Рациональ»;1.0;Балкон;Монолитный;0.0;Отсутсвует;0.833
1.0;Неизвестно;1800000;Солнечногорск;ЖК «Смирновка»;0.0;Нет;Неизвестно;0.0;Отсутсвует;100.0
2.0;Неизвестно;3900000;Раменский;ЖК «Родники»;1.0;Нет;Монолитный;1.0;Отсутсвует;100.0
2.0;подземная;23000000;Москва;ЖК «Тихвинская 14»;1.0;Нет;Монолитный;1.0;Отсутсвует;0.833
1.0;Неизвестно;1380000;Щелково;ЖК «Восточная Европа»;0.0;Нет;Монолитный;1.0;Отсутсвует;100.0
1.0;Наземная;990000;Раменский;ЖК «Ильинский дворик»;0.0;Нет;Неизвестно;0.0;Дизайнерский;100.0
2.0;Неизвестно;7500000;Москва;ЖК «Царицыно-2»;2.0;Нет;Монолитный;1.0;Отсутсвует;2.499
1.0;Неизвестно;1600000;Солнечногорск;ЖК «Смирновка»;1.0;Нет;Кирпичный;0.0;Отсутсвует;100.0
0.0;Неизвестно;4200000;Москва;ЖК «Марьино Град»;1.0;Нет;Кирпичный;0.0;Отсутсвует;0.0
1.0;Неизвестно;4162400;Истра;ЖК «Сказка»;0.0;Балкон;Кирпичный;0.0;Отсутсвует;100.0
2.0;Неизвестно;5171250;Истра;ЖК «Сказка»;0.0;Балкон;Кирпичный;1.0;Отсутсвует;100.0
